"Tag","Text"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 3","https://pec.ac.in/institute/email-services"
"Title: Webmail | Punjab Engineering College"
"p","Quick Links"
"p","Email Services are provided to Faculty Members and Students of the institute to quickly and easily send electronic files such as text documents, photos and data sheets through an email."
"p","Support: For queries email to : webmaster@pec.edu.in."
"p","Steps to Access pec.edu.in Email: Click here to Download Manual"
"p","New Email Server (mail.pec.edu.in)"
"p","Old Email Server (mail.pec.ac.in)"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 4","https://pec.ac.in/jobs"
"Title: Jobs | Punjab Engineering College"
"p","Quick Links"
"p","Archive of Previous job Openings"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 5","https://pec.ac.in/tenders"
"Title: Tenders | Punjab Engineering College"
"p","Quick Links"
"p","E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012"
"p","Archive of Previous Tenders"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 6","https://pec.ac.in/office-orders"
"Title: Office Orders | Punjab Engineering College"
"p","Quick Links"
"p","All Departments/ Centres/ Deans/ Sections will function with 100% staff w.e.f 01.09.2020"
"p","Constitution of a committee for coordinating activities related to COVID 19"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 7","https://pec.ac.in/nirf-data-20"
"Title: Data Submitted for Participation in National Institutional Ranking Framework (NIRF), India Rankings 2020 | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 8","https://pec.ac.in/node/549"
"Title: RTI | Punjab Engineering College"
"p","Quick Links"
"p","An Act to provide for setting out the practical regime of right to information for citizens to secure access to information under the control of public authorities, in order to promote transparency and accountability in the working of every public authority, the constitution of a Central Information Commission and State Information Commissions and for matters connected therewith or incidental thereto."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 9","https://pec.ac.in/tnp/about-cell"
"Title: Career Development & Guidance Centre | Punjab Engineering College"
"p","Quick Links"
"p","Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country."
"p","The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students."
"p","Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum ."
"p","Centre takes care of :"
"p","a) Career Development & Guidance Program"
"p","b) Internship & Full Time Placement Activities"
"p","c) Facilitate Pre-Placement visits to the companies"
"p","d) Communication, Networking & Relationship Building with Potential Recruiters."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 10","https://pec.ac.in/institute-functionaries"
"Title: Contact Us | Punjab Engineering College"
"p","Quick Links"
"p","S.No."
"p","Name of committee"
"p","Chairperson"
"p","Members (Prof./ Dr./ Sh./ Ms.)"
"p","1"
"p","Standing Committee for Recruitment"
"p","Director"
"p","3"
"p","Institutional Purchase/ Tender Committee"
"p","Deputy Director"
"p","4"
"p","Library Advisory Committee"
"p","R. Sehmi, Applied Science Department"
"p","5"
"p","Standing Committee of Senate"
"p","Uma Batra, Department of Materials and Metallurgical Engineering"
"p","6"
"p","Faculty & Staff Grievance Redressal Committee"
"p","Deputy Director"
"p","7"
"p","Sexual Harassment & Violence against Women Committee at Workplace"
"p","Rintu Khanna, Electrical Engineering Department"
"p","8"
"p","Performance based award for Faculty & Staff"
"p","Deputy Director"
"p","9"
"p","Commercial & House Allotment Committee"
"p","Deputy Director"
"p","10"
"p","Master Plan & Space Allocation Committee"
"p","Deputy Director"
"p","Auction & Disposal Committee"
"p","Deputy Director"
"p","*Shall coordinate/ convener of the committee."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 11","https://pec.ac.in/"
"Title: Welcome to Punjab Engineering College | Punjab Engineering College"
"p","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"p","Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19"
"p","Manual to Access pec.edu.in Email ID"
"p","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 12","https://pec.ac.in/institute"
"Title: Institute | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University), Chandigarh was orginally established as Mugalpura Engineering College at Lahore (now in Pakistan) on November 9, 1921.Towards the end of December 1953, the college shifted to its present campus in Chandigarh to function under Govt. of Punjab."
"p","Read More"
"p","The college campus extends over an area of 149 acres of the land situated close to the beautiful Shivalik hills. The campus is divided into various functional zones like hostels, Main College Building, Administration Block, Residential Complex for staff and faculty and a shopping centre."
"p","Read More"
"p","The college is situated in Sector 12 at the north end of Chandigarh.The college campus extends over an area of 146 acres of the land situated close to the beautiful Shivalik hills."
"p","Read More"
"p","Latest news and information about happenings and events on the campus."
"p","Read More"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 13","https://pec.ac.in/history"
"Title: History | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) (PEC) having its roots in Lahore as Mugalpura Engineering College since 1921, moved to its present campus in 1953 as PEC affiliated to Panjab University. The institute became Deemed University in 2003 through a MHRD notification and rechristened as PEC University of Technology in 2009."
"p","It is a Grant-in-Aid institution under administration of Union Territory of Chandigarh, Government of India. The institute has a 146 acres sprawling and pious campus and is house of Chandigarh College of Architecture also. The academic and administrative processes are similar to IITs in the country. The institute governance is through a vibrant Board of Governors, chaired by a renowned industrialist, Sh. Rajinder Gupta. The institute is headed by a Director on 5 years tenure; a position, which is equivalent to Vice Chancellor of Universities."
"p","The institute offers 8 Undergraduate B. Tech. Programmes and 14 Post graduate M. Tech. Programmes in various disciplines of engineering and technology. After becoming University, the institute has also started PhD programme in various disciplines of engineering, science, management, humanities and social sciences. The admission to UG and PG programmes are made through national level examinations namely JEE (Mains) and GATE respectively. There are 9 academic departments and 2 centers of excellence."
"p","The faculty of academic departments and centers is involved in cutting edge research and development works. The institute collaborates very closely with research organisations, industries, alumni and other academic institutions both India and abroad, and has signed MoUs to pursue joint research in niche areas. The students graduating from this institute are placed in highly reputed companies with handsome salary packages."
"p","With a history of about 96 years now, the institute has produced a number of alumni who have earned name and fame both for themselves and the institute."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 14","https://pec.ac.in/vision"
"Title: Vision & Mission | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 15","https://pec.ac.in/campus"
"Title: Campus | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 16","https://pec.ac.in/location"
"Title: Location | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 17","https://pec.ac.in/all_events"
"Title: Event | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 18","https://pec.ac.in/balance-sheets"
"Title: Balance Sheets | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 19","https://pec.ac.in/faculty-affairs"
"Title: Faculty Affairs | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 20","https://pec.ac.in/institute/iqac-reports"
"Title: IQAC Reports | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 21","https://pec.ac.in/administration"
"Title: Administration | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University) is led by Director, Prof. Dheeraj Sanghi, governed by a Board of Governors and Senate and supported by various Institute Functionaries."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 22","https://pec.ac.in/board-of-governors"
"Title: Board of Governors | Punjab Engineering College"
"p","Quick Links"
"p","Provision"
"p","Presently Occupied By"
"p","An eminent educationist/ industrialist to be selected by the Chandigarh Administration"
"p","Sh. Rajinder Gupta, Chairman, Trident Industries, E-212, Kitchlu Nagar, Ludhiana, Punjab."
"p","Chairman"
"p","Ex-officio"
"p","Secretary Technical Education, Chandigarh Administration"
"p","Sh. Arun Kumar Gupta, IAS"
"p","Vice Chairman"
"p","Ex-officio"
"p","Finance Secretary, Chandigarh Administration"
"p","Sh. Ajoy Kumar Sinha, IAS"
"p","Member"
"p","Ex-officio, Vice Chancellor, Panjab University, Chandigarh or his nominee"
"p","Prof. Raj Kumar"
"p","Member"
"p","Ex-officio, Joint Secretary/ Special Secretary Technical Education, U.T., Chandigarh"
"p","Sh. Sachin Rana, IAS"
"p","Member"
"p","Nominee of the Department of Secondary Education & Higher Education, MHRD, GOI"
"p","Nominee of Ministry of Home Affairs, GOI"
"p","Director IIT, Delhi or his nominee"
"p","Nominee of the Chairman, UGC"
"p","Chairman CII, Northern Region"
"p","Mr. Nikhil Sawhney"
"p","Member"
"p","Director CSIO Chandigarh"
"p","Dr. Sanjay Kumar"
"p","Member"
"p","Two Technologists/ Engineers/ Educationalists to be nominated by the Chandigarh Administration"
"p","Sh. Kiran Malhotra, Advisor Business Development in Automative Industry, Hoebiger Drive Tech., Germany."
"p","Sh. Arun Kumar Grover, Former Vice Chancellor, H-1, Panjab University, Sector - 14, Chandigarh."
"p","Members"
"p","Two eminent industralists to be nominated by the Chandigarh Administration"
"p","Sh. A.K. Taneja, MD & CEO, Shriram Pistons & Rings Limited, 3rd Floor, Himalaya House 23, Kasturba Gandhi Marg, New Delhi - 110001."
"p","Sh. Sanjeev Aggarwal, Senior Managing Director, Helion Advisors Pvt. Ltd., Tower 'B', 10th Floor, Vatika Towers, Sector - 54, Gurgaon - 122002."
"p","Members"
"p","An eminent alumnus of the Institiute to be nominated by the Chandigarh Administration"
"p","Sh. Purushottam Kaushik, Senior Advisor, MCKinsey and Company, 21st Floor, Express Towers, Nariman Point, Mumbai - 400021."
"p","Member"
"p","Two persons of the Institute to be nominated by the Senate"
"p","Prof. Siby John, Civil Engineering Department"
"p","Prof. Sanjeev Sofat, Computer Science & Engineering Department"
"p","Members"
"p","Ex-officio Director of Institute"
"p","Dr. Dheeraj Sanghi"
"p","Member"
"p","Ex-officio Registrar of the Institute"
"p","Dr. Sushant Samir"
"p","Member Secretary"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 23","https://pec.ac.in/chairman-bog"
"Title: Chairman, Board of Governors | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 24","https://pec.ac.in/director"
"Title: Director | Punjab Engineering College"
"p","Quick Links"
"p","Director Punjab Engineering College (Deemed to be University) Sector 12 ,Chandigarh,U.T Pin : 160012, India director [*AT] pec.edu.in +91 172 2746074, 2753051"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 25","https://pec.ac.in/senate-members"
"Title: Senate Members | Punjab Engineering College"
"p","Quick Links"
"p","Name/Designation"
"p","Capacity"
"p","Director"
"p","ex-officio, Chairman"
"p","Deputy Director"
"p","ex-officio"
"p","Heads of all the Academic Departments"
"p","ex-officio"
"p","Dr. Asha Gupta, Applied Sciences Department"
"p","Two Professors, other than Deans/ Heads of departments by rotation"
"p","Dr. Sanjeev Kumar, Mechanical Engineering Department"
"p","Prof. S. K. Sharma, Civil Engineering Department"
"p","Two Associate Professors from the departments, elected from amongst the Associate Professors"
"p","Prof. Arun K. Singh, Electonics & Communication Engineering Department"
"p","Prof. Tejinder Singh Saggu, Electrical Engineering Department"
"p","Two Assistant Professors from the departments, elected from amongst the Assistant Professors"
"p","Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions"
"p","Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors"
"p","Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh"
"p","Ms. Seema Vasishta, Senior Librarian"
"p","Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge"
"p","Registrar"
"p","ex-officio, Secretary"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 26","https://pec.ac.in/building-works-committee"
"Title: Building & Works Committee | Punjab Engineering College"
"p","Quick Links"
"p","Sr. No"
"p","Name"
"p","Capacity"
"p","1."
"p","Dr. Dheeraj Sanghi, Director"
"p","Chairman"
"p","2."
"p","Prof. Sushant Samir, Registrar (Ad-Interim)"
"p","Member Secretary"
"p","3."
"p","Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate."
"p","Member"
"p","4."
"p","Dr. R. K. Sinha, BOG Nominee"
"p","Member"
"p","5."
"p","Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd."
"p","Member"
"p","6."
"p","Sh. V.K. Jain, S.E, UHBVN Retd."
"p","Member"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 27","https://pec.ac.in/finance-committee"
"Title: Finance Committee | Punjab Engineering College"
"p","Quick Links"
"p","Sr. No"
"p","Name/ Designation"
"p","Capacity"
"p","Sh. Rajinder Gupta"
"p","Chairman"
"p","Sh. Ajoy Kumar Sinha, IAS, Finance Secretary, UT Chandigarh"
"p","Member (Ex-officio)"
"p","Sh. Sachin Rana, IAS, Special Secretary, Technical Education"
"p","Member (Ex-officio)"
"p","Prof. R.K.Sinha, Director, CSIO"
"p","Member"
"p","Prof. Siby John, PEC"
"p","Member"
"p","One nominee of MHRD"
"p","Member (Ex-officio)"
"p","One nominee of the UGC"
"p","Member (Ex-officio)"
"p","Director"
"p","Member (Ex-officio)"
"p","Registrar"
"p","Member (Ex-officio)"
"p","AC(F&A)"
"p","Special Invitee"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 28","https://pec.ac.in/grievance-redressal-committee"
"Title: Grievance Redressal Committee | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 29","https://pec.ac.in/minutes-meetings"
"Title: Minutes of Meetings | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 30","https://pec.ac.in/programmes"
"Title: Programmes | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University), Chandigarh has been conferred the Deemed University status in 2004. Earlier the college was affiliated to the Panjab University, Chandigarh. Punjab Engineering College (Deemed to be University), Chandigarh offers a wide range of academic programmes at the undergraduate, postgraduate and the research levels."
"p","The Punjab Engineering College (Deemed to be University), Chandigarh offers four-year Bachelor degree programmes in Aerospace Engineering, Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering, Materials and Metallurgical Engineering, Production and Industrial Engineering. Master of Technology is offered in Civil Engineering (Transportation Engineering), Civil Engineering (Water Resources Engineering), Civil Engineering (Structural Engineering), Civil Engineering (Environmental Engineering) – an interdisciplinary programme, Computer Science and Engineering, Computer Science and Engineering (Information Security) – a self-supporting programme, Electrical Engineering, Electronics Engineering (VLSI Design), Mechanical Engineering, Industrial Materials and Metallurgy, Production and Industrial Engineering, Total Quality Engineering and Management - a self-supporting, interdisciplinary programme and Industrial Design - a self-supporting, interdisciplinary programme."
"p","At the postgraduate level, the college offers a 4 semester programme leading to the degree of Master of Technology (M.Tech) in different disciplines. The admission to these courses is based on the percentile score of applicants in the Graduate Aptitude Test in Engineering (GATE). A special provision exists for 6 semester part-time ME courses for the candidates sponsored by the industry and the various Government organizations. Facilities for doctoral research are available in all departments."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 31","https://pec.ac.in/programmes/ug/structure"
"Title: Programme Structure & Syllabus | Punjab Engineering College"
"p","Quick Links"
"p","Four year undergraduate programmes leading to the degree of Bachelor of Technology (B. Tech.) are offered in the following disciplines:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 32","https://pec.ac.in/programmes/pg/structure"
"Title: Programme Structure & Syllabus | Punjab Engineering College"
"p","Quick Links"
"p","Two year programmes leading to the degree of Master of Technology (M. Tech.) are offered in the following disciplines:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 33","https://pec.ac.in/programmes/phd"
"Title: Doctorate | Punjab Engineering College"
"p","Quick Links"
"p","The Punjab Engineering College (Deemed to be University) has a mission to develop high quality science and engineering specialists having strong base of principles of science and the scientific methods,deep understanding of their chosen areas of specialization, the motivation to learn continually,interact with multi-disciplinary groups and to handle new challenges offered by the front-end technologies. The PhD Programme is designed to impart knowledge, and to consolidate concepts andintellectual skills through courses, seminars, projects, and thesis work. Above all, it helps thescholars to develop the capacity for free and objective enquiry, courage and integrity, awarenessand sensitivity to the needs and aspirations of the society. The Programme provides the candidates with an enabling research experience duringtheir stay in the Institute, thereby helping them to enter their professional life with right perspective and knowledge related to their respective fields of specialization."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 34","https://pec.ac.in/programmes/student-support"
"Title: Academic Support for Students | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 35","https://pec.ac.in/programmes/accreditation"
"Title: Accreditation | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 36","https://pec.ac.in/programmes/scholarships"
"Title: Scholarships | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 37","https://pec.ac.in/iqac/aqar-reports"
"Title: Annual Quality Assurance Reports (AQAR) | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 38","https://pec.ac.in/admissions"
"Title: Admissions | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 39","https://pec.ac.in/academic-units"
"Title: Academic Units | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 40","https://pec.ac.in/departments"
"Title: Departments | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 41","https://pec.ac.in/centres"
"Title: Centres | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 42","https://pec.ac.in/research/overview"
"Title: Overview | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) imparts quality and socially relevant education in engineering at undergraduate, postgraduate and doctorate levels. Faculty and students of its department are involved in research activities of interest to society and industry. Our curricula derive its strength from the design and project contents."
"p","We strive to strengthen further our research programs as well our relationship with industry by supporting our faculty and students to work on sponsored research and industrial projects and consultancy. We encourage collaborative programs, which enhance interaction of our faculty and students with industry."
"p","Sponsored projects, In-house projects, consultancy and collaborations with industry and academia are important modes through which our faculty and students contribute towards knowledge and technology. Our institute provides financial assistance to its faculty and students to present the outcome of their research projects in national and international conferences in India and abroad. Our faculty engaged in helping society offers short term courses as well training programs for industry, institutes and organizations. Office of Dean Sponsored Research & Industrial Consultancy provides administrative and managerial support for the operation of Sponsored research, In-house Projects, Consultancy and other activities of the institute. It promotes and manages Institute-Industry interaction and provides helping hand in establishing collaborative programmes of interest to Institute and Industry. Faculty and students are encouraged to take up hands on industrial problems as consultancy projects to enrich their problem solving skills."
"p","The institute website provides information on its resources and activities. It is an opportune moment to invite potential Industries and other academic and research organizations to explore their relation with Punjab Engineering College (Deemed to be University), Chandigarh."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 43","https://pec.ac.in/research-groups"
"Title: Research Groups | Punjab Engineering College"
"p","Quick Links"
"p","Research programs concern work undertaken by faculty members or specific research groups within various Engineering and Applied Sciences. Research is carried out by scholars admitted into these departmental Programmes, under the guidance of their faculty. Current research activity of the institute is focused mainly on the following thrust area."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 44","https://pec.ac.in/sponsored-research"
"Title: Sponsored Research | Punjab Engineering College"
"p","Quick Links"
"p","The institute encourages its faculty to undertake research in the field of science and technology through sponsored projects. At present faculty along with research scholars and research fellows are engaged in sponsored project of 2 to 5 years duration funded by Government agencies. Some of them are Department of Science and Technology, Department of Information Technology, Indo-French Centre for the Promotion of Advanced Research, CSIR, AICTE, SASE and Chandigarh Administration."
"p","Some of the ongoing and recently completed projects are:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 45","https://pec.ac.in/house-projects"
"Title: In-House Projects | Punjab Engineering College"
"p","Quick Links"
"p","PEC University of Technology encourages its faculty to undertake in-house research projects by providing them internal funding for creation/enhancement of facility, which is useful to research students (M. Tech & PhD) as well as to the needs of the industry."
"p","In-house Projects Status:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 46","https://pec.ac.in/consultancy"
"Title: Consultancy | Punjab Engineering College"
"p","Quick Links"
"p","The faculty at PEC University of Technology has expertise in various research areas of interest to the industry. The institute encourages its faculty to undertake consultancy work through which the faculty contributes toward the industrial growth, strengthen institute-industry interface and enrich their professional experience. The Research Planning and Development acts as a liaison between the institute and industry/ government bodies to undertake projects with specific problem, which are generally of short duration. Some of the Industries are Philips, Luminous, Metelex."
"p","Broadly the following types of consultancy services being offered is given below:"
"p","Anybody from Industry/ External Agency can contact the Institute to solve problems in almost every discipline of engineering, technology and science. The Institute through its faculty can handle such external requests of the industry/ agency that can come under the term consultancy in its broader sense."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 47","https://pec.ac.in/courses-and-conferences"
"Title: Courses and Conferences | Punjab Engineering College"
"p","Quick Links"
"p","Courses"
"p","S.No"
"p","Name of Course"
"p","Name of the Coordinator"
"p","Deptt."
"p","Duration"
"p","1"
"p","Six Sigma & Research Methodology"
"p","Prof. P. S. Satsangi"
"p","Mechanical"
"p","20/12/2010 to 24/12/2010"
"p","2"
"p","Design of Embedded Systems"
"p","Prof. Neelu Jain"
"p","E&EC"
"p","4/6/2010 to"
"p","5/6/2010"
"p","3"
"p","Refresher Course in “Mechanical Engineering”"
"p","Prof. Sushant Samir"
"p","Mechanical"
"p","29/12/2011 to"
"p","11/01/2012"
"p","4"
"p","Flights Mechanics & Recent Developments"
"p","Prof. Rakesh Kumar"
"p","Aeronautical"
"p","3/12/2012 to 07/12/2012"
"p","5"
"p","Faculty Development progremme with INFOSYS"
"p","Prof. Sanjeev Sofat"
"p","CS&E"
"p","12/9/2012 to"
"p","14/9/2012"
"p","6"
"p","Short Term Course on Applications of PLC in Mechatronics"
"p","Prof. Balwinder Singh"
"p","Electrical"
"p","7/1/2013 to 11/1/2013"
"p","7"
"p","Industry –Institute interaction on CSE Programming"
"p","( E-Waste Management)"
"p","Porf. Sanjeev Sofat"
"p","CS&E"
"p","8"
"p","Value Engineering Module - 1"
"p","Prof. R.M Belokar"
"p","Production"
"p","14/07/2014 to 18/07/2014"
